key,scope,likely_required,used_in_files,examples
"ADMIN_EMAIL","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/app/api/auth/magic-link/route.ts","""ADMIN_EMAIL"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/app/api/auth/magic-link/route.ts"",""""""ADMIN_EMAIL"""",""""server"""",""""yes"""",""""src/app/api/auth/magic-link/route.ts"""",""""      process.env.MATRIX_ADMIN_EMAIL || process.env.ADMIN_EMAIL;"""""""
"ADMIN_PASSWORD","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;scripts/validate-env.js","""ADMIN_PASSWORD"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;scripts/validate-env.js"",""""""ADMIN_PASSWORD"""",""""server"""",""""yes"""",""""scripts/validate-env.js"""",""""      const pass = process.env.ADMIN_PASSWORD;"""""""
"AFFILIATE_COMMISSION_RATE","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/lib/apiClients.ts","""AFFILIATE_COMMISSION_RATE"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/lib/apiClients.ts"",""""""AFFILIATE_COMMISSION_RATE"""",""""server"""",""""yes"""",""""src/lib/apiClients.ts"""",""""  commissionRate: parseFloat(process.env.AFFILIATE_COMMISSION_RATE || """"""""10""""""""),"""""""
"AFFILIATE_COOKIE_DURATION","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/lib/apiClients.ts","""AFFILIATE_COOKIE_DURATION"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/lib/apiClients.ts"",""""""AFFILIATE_COOKIE_DURATION"""",""""server"""",""""yes"""",""""src/lib/apiClients.ts"""",""""  cookieDuration: parseInt(process.env.AFFILIATE_COOKIE_DURATION || """"""""30"""""""", 10),"""""""
"AFFILIATE_SECRET","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/lib/apiClients.ts","""AFFILIATE_SECRET"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/lib/apiClients.ts"",""""""AFFILIATE_SECRET"""",""""server"""",""""yes"""",""""src/lib/apiClients.ts"""",""""  secret: process.env.AFFILIATE_SECRET,"""""""
"CLAUDE_API_KEY","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/app/api/status/route.ts;src/lib/apiClients.ts;src/lib/services/anthropic.ts","""CLAUDE_API_KEY"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/app/api/status/route.ts;src/lib/apiClients.ts;src/lib/services/anthropic.ts"",""""""CLAUDE_API_KEY"""",""""server"""",""""yes"""",""""src/app/api/status/route.ts;src/lib/apiClients.ts;src/lib/services/anthropic.ts"""",""""    hasClaude: !!process.env.CLAUDE_API_KEY,"""""""
"CRON_SECRET","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/app/api/cron/content/route.ts;src/app/api/cron/reports/route.ts;src/app/api/cron/sitemap/route.ts;src/app/api/cron/store/route.ts;src/app/api/generate-content/route.ts","""CRON_SECRET"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/app/api/cron/content/route.ts;src/app/api/cron/reports/route.ts;src/app/api/cron/sitemap/route.ts;src/app/api/cron/store/route.ts;src/app/api/generate-content/route.ts"",""""""CRON_SECRET"""",""""server"""",""""yes"""",""""src/app/api/cron/content/route.ts;src/app/api/cron/reports/route.ts;src/app/api/cron/sitemap/route.ts;src/app/api/cron/store/route.ts;src/app/api/generate-content/route.ts"""",""""    if (secret !== process.env.CRON_SECRET) {"""""""
"CSRF_SECRET","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/lib/security.ts","""CSRF_SECRET"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/lib/security.ts"",""""""CSRF_SECRET"""",""""server"""",""""yes"""",""""src/lib/security.ts"""",""""const CSRF_SECRET = process.env.CSRF_SECRET || """"""""change-me-in-production"""""""";"""""""
"DATABASE_URL","server","yes","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;package.json;prisma.config.ts;prisma/schema.postgres.prisma;prisma/schema.prisma","""DATABASE_URL"",""server"",""yes"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;package.json;prisma.config.ts;prisma/schema.postgres.prisma;prisma/schema.prisma"",""""""DATABASE_URL"""",""""server"""",""""yes"""",""""package.json;prisma.config.ts;prisma/schema.postgres.prisma;prisma/schema.prisma"""",""""    """"""""postinstall"""""""": """"""""node -e \""""""""const { execSync } = require('child_process'); const url = process.env.DATABASE_URL || 'postgresql://postgres:postgres@localhost:5432/postgres'; execSync('npx prisma generate', { stdio: 'inherit', env: { ...process.env, DATABASE_URL: url } });\"""""""""""""""""""""""
"EMAIL_FROM","server","no","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/auth.ts","""EMAIL_FROM"",""server"",""no"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/auth.ts"",""""""EMAIL_FROM"""",""""server"""",""""no"""",""""src/auth.ts"""",""""            from: process.env.EMAIL_FROM || """"""""admin@3000studios.com"""""""","""""""
"EMAIL_SERVER_HOST","server","no","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/auth.ts","""EMAIL_SERVER_HOST"",""server"",""no"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/auth.ts"",""""""EMAIL_SERVER_HOST"""",""""server"""",""""no"""",""""src/auth.ts"""",""""    ...(process.env.EMAIL_SERVER_HOST"""""""
"EMAIL_SERVER_PASSWORD","server","no","_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/auth.ts","""EMAIL_SERVER_PASSWORD"",""server"",""no"",""_audit/env/env_required.csv;_audit/env/env_usage.tsv;_audit/env/raw_matches.txt;src/auth.ts"",""""""EMAIL_SERVER_PASSWORD"""",""""server"""",""""no"""",""""src/auth.ts"""",""""                pass: process.env.EMAIL_SERVER_PASSWORD,"""""""
