key,reason
"AFFILIATE_COMMISSION_RATE","not set in .env.local"
"AFFILIATE_COOKIE_DURATION","not set in .env.local"
"AFFILIATE_SECRET","not set in .env.local"
"CRON_SECRET","not set in .env.local"
"CSRF_SECRET","not set in .env.local"
"DATABASE_URL","not set in .env.local"
"EMAIL_FROM","not set in .env.local"
"EMAIL_SERVER_HOST","not set in .env.local"
"EMAIL_SERVER_PASSWORD","not set in .env.local"
"EMAIL_SERVER_PORT","not set in .env.local"
"EMAIL_SERVER_USER","not set in .env.local"
"FULFILLMENT_SIGNING_SECRET","not set in .env.local"
"GITHUB_TOKEN","not set in .env.local"
"JWT_SECRET","not set in .env.local"
"KEY_NAME","not set in .env.local"
"LIVE_PASSWORD","not set in .env.local"
"MATRIX_ADMIN_EMAIL","not set in .env.local"
"MATRIX_ADMIN_PASSWORD","not set in .env.local"
"MONGODB_DB_NAME","not set in .env.local"
"MUX_TOKEN_ID","not set in .env.local"
"MUX_TOKEN_SECRET","not set in .env.local"
"NEXT_PUBLIC_BASE_URL","not set in .env.local"
"NEXT_PUBLIC_GA_MEASUREMENT_ID","not set in .env.local"
"NEXT_PUBLIC_MAPS_API","not set in .env.local"
"NEXT_PUBLIC_PAYPAL_CLIENT_ID","not set in .env.local"
"NEXT_PUBLIC_SHADOW_USER","not set in .env.local"
"NEXT_PUBLIC_SIGNAL_SERVER","not set in .env.local"
"NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY","not set in .env.local"
"NEXT_PUBLIC_VERCEL_ANALYTICS_ID","not set in .env.local"
"NEXT_PUBLIC_VERCEL_ENV","not set in .env.local"
"OPENAI_API","not set in .env.local"
"OPENAI_KEY","not set in .env.local"
"OPENAI_ORG_ID","not set in .env.local"
"PAYPAL_ENV","not set in .env.local"
"PAYPAL_MODE","not set in .env.local"
"SENDGRID_API_KEY","not set in .env.local"
"SESSION_DURATION_HOURS","not set in .env.local"
"SESSION_SECRET","not set in .env.local"
"SHADOW_ADMIN_EMAIL","not set in .env.local"
"SHADOW_ADMIN_PASSWORD","not set in .env.local"
"SHADOW_PASSWORD","not set in .env.local"
"STRIPE_3000_SECRET","not set in .env.local"
"STRIPE_BUSINESS_PRICE_ID","not set in .env.local"
"STRIPE_KEY","not set in .env.local"
"STRIPE_PRO_PRICE_ID","not set in .env.local"
"TWILIO_ACCOUNT_SID","not set in .env.local"
"TWILIO_AUTH_TOKEN","not set in .env.local"
"TWILIO_PHONE","not set in .env.local"
"VALIDATE_ENV_MODE","not set in .env.local"
"VERCEL_ACCESS_TOKEN","not set in .env.local"
"VERCEL_DEPLOY_HOOK","not set in .env.local"
"VERCEL_ENV","not set in .env.local"
"VERCEL_GIT_COMMIT_AUTHOR_NAME","not set in .env.local"
"VERCEL_GIT_COMMIT_REF","not set in .env.local"
"VERCEL_GIT_COMMIT_SHA","not set in .env.local"
"VERCEL_PROJECT_ID","not set in .env.local"
"VOICE_CONTINUOUS","not set in .env.local"
"VOICE_LANGUAGE","not set in .env.local"
"WEBRTC_KEY","not set in .env.local"
"WEBRTC_TURN_PASS","not set in .env.local"
"WEBRTC_TURN_URL","not set in .env.local"
"WEBRTC_TURN_USER","not set in .env.local"
"WORDPRESS_API_URL","not set in .env.local"
"WORDPRESS_PASSWORD","not set in .env.local"
"WORDPRESS_USERNAME","not set in .env.local"
"WP_PASS","not set in .env.local"
"WP_PASSWORD","not set in .env.local"
"WP_URL","not set in .env.local"
"WP_USER","not set in .env.local"
"WP_USERNAME","not set in .env.local"
